207.46.13.223 bot - "2019-02-20 00:01:46" http://mabasan.kemdikbud.go.id/index.php/MABASAN/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.71.73 bot - "2019-02-20 00:12:53" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/151 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 00:13:10" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/131 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 00:14:24" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/74/45 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
46.229.168.141 - - "2019-02-20 00:14:40" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/3 200 "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)"
46.229.168.152 - - "2019-02-20 00:17:30" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/20 200 "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)"
66.249.71.73 bot - "2019-02-20 00:21:30" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/229/197 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.75 bot - "2019-02-20 00:29:53" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/146 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
46.229.168.143 - - "2019-02-20 00:33:10" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/106 200 "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)"
66.249.79.232 bot - "2019-02-20 00:41:31" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/211 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 00:42:09" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/25 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 00:43:13" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/141 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 00:43:23" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/193 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.232 bot - "2019-02-20 00:52:54" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/122 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.75 bot - "2019-02-20 01:03:07" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/123 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
37.9.113.20 bot - "2019-02-20 01:08:38" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/38/17 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.71.73 bot - "2019-02-20 01:10:03" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/220 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 01:13:41" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/165 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
37.9.113.20 bot - "2019-02-20 01:25:54" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/63 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.71.77 bot - "2019-02-20 01:25:54" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/124 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
37.9.113.20 bot - "2019-02-20 01:32:21" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/102 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.71.77 bot - "2019-02-20 01:33:17" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/221 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 01:40:09" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/135 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 01:41:58" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/136 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 01:43:43" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/123/93 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 01:44:34" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/133 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 01:45:28" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/231 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 01:45:59" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/222 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 01:46:34" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/228 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 01:48:14" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/220 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.75 bot - "2019-02-20 01:50:30" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/174 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 01:51:03" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/191 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 01:53:35" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/124/94 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 01:54:46" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/223/191 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 01:55:00" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/19 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 01:56:06" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/122/92 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.234 bot - "2019-02-20 02:05:03" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/128 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 02:07:13" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/139 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.75 bot - "2019-02-20 02:07:27" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/217 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 02:07:40" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/221 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 02:12:53" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/230 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 02:23:15" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/138 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 02:28:18" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/165/135 200 "Googlebot-Image/1.0"
66.249.71.77 bot - "2019-02-20 02:32:28" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/227 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.205 bot - "2019-02-20 02:35:42" http://mabasan.kemdikbud.go.id/index.php/MABASAN/issue/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 02:40:31" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/229 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.75 bot - "2019-02-20 02:43:25" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/218 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 02:43:28" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/219 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.77 bot - "2019-02-20 02:45:03" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/226 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 02:49:13" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/225 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 02:53:12" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/222 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.73 bot - "2019-02-20 03:10:15" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/221/189 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.71.75 bot - "2019-02-20 03:10:47" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/221/189 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
